PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin Category,Cabin Count,SurName,Title,Name,Ticket Group,Family Group
546,0,1,male,64,0,0,693,26,S,,,Nicholson,Mr,Arthur Ernest,,
873,0,1,male,33,0,0,695,5,S,B,3,Carlsson,Mr,Frans Olof,,Family
75,1,3,male,32,0,0,1601,56.4958,S,,,Bing,Mr,Lee,Ticket,
839,1,3,male,32,0,0,1601,56.4958,S,,,Chip,Mr,Chang,Ticket,
644,1,3,male,,0,0,1601,56.4958,S,,,Foo,Mr,Choong,Ticket,
693,1,3,male,,0,0,1601,56.4958,S,,,Lam,Mr,Ali,Ticket,Family
827,0,3,male,,0,0,1601,56.4958,S,,,Lam,Mr,Len,Ticket,Family
510,1,3,male,26,0,0,1601,56.4958,S,,,Lang,Mr,Fang,Ticket,
170,0,3,male,28,0,0,1601,56.4958,S,,,Ling,Mr,Lee,Ticket,
427,1,2,female,28,1,0,2003,26,S,,,Clarke,Mrs,Charles V (Ada Maria Winfield),,
835,0,3,male,18,0,0,2223,8.3,S,,,Allum,Mr,Owen George,,
554,1,3,male,22,0,0,2620,7.225,C,,,Leeni,Mr,"Fahim (""Philip Zenni"")",,
662,0,3,male,40,0,0,2623,7.225,C,,,Badt,Mr,Mohamed,,
523,0,3,male,,0,0,2624,7.225,C,,,Lahoud,Mr,Sarkis,,
804,1,3,male,0.42,0,1,2625,8.5167,C,,,Thomas,Master,Assad Alexander,,
368,1,3,female,,0,0,2626,7.2292,C,,,Moussa,Mrs,(Mantoura Boulos),,
115,0,3,female,17,0,0,2627,14.4583,C,,,Attalah,Miss,Malake,Ticket,Family
496,0,3,male,,0,0,2627,14.4583,C,,,Yousseff,Mr,Gerious,Ticket,
204,0,3,male,45.5,0,0,2628,7.225,C,,,Youseff,Mr,Gerious,,
860,0,3,male,,0,0,2629,7.2292,C,,,Razi,Mr,Raihed,,
27,0,3,male,,0,0,2631,7.225,C,,,Emir,Mr,Farred Chehab,,
532,0,3,male,,0,0,2641,7.2292,C,,,Toufik,Mr,Nakli,,
355,0,3,male,,0,0,2647,7.225,C,,,Yousif,Mr,Wazli,,
379,0,3,male,20,0,0,2648,4.0125,C,,,Betros,Mr,Tannous,,
20,1,3,female,,0,0,2649,7.225,C,,,Masselmani,Mrs,Fatima,,
256,1,3,female,29,0,2,2650,15.2458,C,,,Touma,Mrs,Darwis (Hanne Youssef Razi),,
40,1,3,female,14,1,0,2651,11.2417,C,,,Nicola-Yarred,Miss,Jamila,Ticket,Family
126,1,3,male,12,1,0,2651,11.2417,C,,,Nicola-Yarred,Master,Elias,Ticket,Family
382,1,3,female,1,0,2,2653,15.7417,C,,,Nakid,Miss,"Maria (""Mary"")",Ticket,Family
623,1,3,male,20,1,1,2653,15.7417,C,,,Nakid,Mr,Sahid,Ticket,Family
621,0,3,male,27,1,0,2659,14.4542,C,,,Yasbeck,Mr,Antoni,Ticket,Family
831,1,3,female,15,1,0,2659,14.4542,C,,,Yasbeck,Mrs,Antoni (Selini Alexander),Ticket,Family
66,1,3,male,,1,1,2661,15.2458,C,,,Moubarek,Master,Gerios,Ticket,Family
710,1,3,male,,1,1,2661,15.2458,C,,,Moubarek,Master,"Halim Gonios (""William George"")",Ticket,Family
49,0,3,male,,2,0,2662,21.6792,C,,,Samaan,Mr,Youssef,,
763,1,3,male,20,0,0,2663,7.2292,C,,,Barah,Mr,Hanna Assi,,
599,0,3,male,,0,0,2664,7.225,C,,,Boulos,Mr,Hanna,,Family
112,0,3,female,14.5,1,0,2665,14.4542,C,,,Zabour,Miss,Hileni,Ticket,Family
241,0,3,female,,1,0,2665,14.4542,C,,,Zabour,Miss,Thamine,Ticket,Family
449,1,3,female,5,2,1,2666,19.2583,C,,,Baclini,Miss,Marie Catherine,Ticket,Family
470,1,3,female,0.75,2,1,2666,19.2583,C,,,Baclini,Miss,Helene Barbara,Ticket,Family
645,1,3,female,0.75,2,1,2666,19.2583,C,,,Baclini,Miss,Eugenie,Ticket,Family
859,1,3,female,24,0,3,2666,19.2583,C,,,Baclini,Mrs,Solomon (Latifa Qurban),Ticket,Family
876,1,3,female,15,0,0,2667,7.225,C,,,Najib,Miss,"Adele Kiamie ""Jane""",,
129,1,3,female,,1,1,2668,22.3583,C,F,2,Peter,Miss,Anna,Ticket,Family
534,1,3,female,,0,2,2668,22.3583,C,,,Peter,Mrs,Catherine (Catherine Rizk),Ticket,Family
61,0,3,male,22,0,0,2669,7.2292,C,,,Sirayanian,Mr,Orsen,,
833,0,3,male,,0,0,2671,7.2292,C,,,Saad,Mr,Amin,,Family
694,0,3,male,25,0,0,2672,7.225,C,,,Saad,Mr,Khalil,,Family
774,0,3,male,,0,0,2674,7.225,C,,,Elias,Mr,Dibo,,Family
37,1,3,male,,0,0,2677,7.2292,C,,,Mamee,Mr,Hanna,,
141,0,3,female,,0,2,2678,15.2458,C,,,Boulos,Mrs,Joseph (Sultana),Ticket,Family
853,0,3,female,9,1,1,2678,15.2458,C,,,Boulos,Miss,Nourelain,Ticket,Family
74,0,3,male,26,1,0,2680,14.4542,C,,,Chronopoulos,Mr,Apostolos,,
844,0,3,male,34.5,0,0,2683,6.4375,C,,,Lemberopolous,Mr,Peter L,,
799,0,3,male,30,0,0,2685,7.2292,C,,,Ibrahim Shawah,Mr,Yousseff,,
569,0,3,male,,0,0,2686,7.2292,C,,,Doharr,Mr,Tannous,,
781,1,3,female,13,0,0,2687,7.2292,C,,,Ayoub,Miss,Banoura,,
579,0,3,female,,1,0,2689,14.4583,C,,,Caram,Mrs,Joseph (Maria Elias),,
533,0,3,male,17,1,1,2690,7.2292,C,,,Elias,Mr,Joseph Jr,,Family
363,0,3,female,45,0,1,2691,14.4542,C,,,Barbara,Mrs,(Catherine David),Ticket,Family
703,0,3,female,18,0,1,2691,14.4542,C,,,Barbara,Miss,Saiide,Ticket,Family
297,0,3,male,23.5,0,0,2693,7.2292,C,,,Hanna,Mr,Mansour,,
245,0,3,male,30,0,0,2694,7.225,C,,,Attalah,Mr,Sleiman,,Family
353,0,3,male,15,1,1,2695,7.2292,C,,,Elias,Mr,Tannous,,Family
58,0,3,male,28.5,0,0,2697,7.2292,C,,,Novel,Mr,Mansouer,,
208,1,3,male,26,0,0,2699,18.7875,C,,,Albimona,Mr,Nassef Cassem,Ticket,
732,0,3,male,11,0,0,2699,18.7875,C,,,Hassan,Mr,Houssein G N,Ticket,
525,0,3,male,,0,0,2700,7.2292,C,,,Kassem,Mr,Fared,,
544,1,2,male,32,1,0,2908,26,S,,,Beane,Mr,Edward,Ticket,Family
547,1,2,female,19,1,0,2908,26,S,,,Beane,Mrs,Edward (Ethel Clarke),Ticket,Family
54,1,2,female,29,1,0,2926,26,S,,,Faunthorpe,Mrs,Lizzie (Elizabeth Anne Wilkinson),,
585,0,3,male,,0,0,3411,8.7125,C,,,Paulner,Mr,Uscher,,
478,0,3,male,29,1,0,3460,7.0458,S,,,Braund,Mr,Lewis Richard,,Family
811,0,3,male,26,0,0,3474,7.8875,S,,,Alexander,Mr,William,,
177,0,3,male,,3,1,4133,25.4667,S,,,Lefebre,Master,Henry Forbes,Ticket,Family
230,0,3,female,,3,1,4133,25.4667,S,,,Lefebre,Miss,Mathilde,Ticket,Family
410,0,3,female,,3,1,4133,25.4667,S,,,Lefebre,Miss,Ida,Ticket,Family
486,0,3,female,,3,1,4133,25.4667,S,,,Lefebre,Miss,Jeannie,Ticket,Family
484,1,3,female,63,0,0,4134,9.5875,S,,,Turkula,Mrs,(Hedwig),,
504,0,3,female,37,0,0,4135,9.5875,S,,,Laitinen,Miss,Kristina Sofia,,
114,0,3,female,20,1,0,4136,9.825,S,,,Jussila,Miss,Katriina,,Family
403,0,3,female,21,1,0,4137,9.825,S,,,Jussila,Miss,Mari Aina,,Family
678,1,3,female,18,0,0,4138,9.8417,S,,,Turja,Miss,Anna Sofia,,
198,0,3,male,42,0,1,4579,8.4042,S,,,Olsen,Mr,Karl Siegwart Andreas,,Family
663,0,1,male,47,0,0,5727,25.5875,S,E,1,Colley,Mr,Edward Pomeroy,,
683,0,3,male,20,0,0,6563,9.225,S,,,Olsvigen,Mr,Thor Anderson,,
351,0,3,male,23,0,0,7267,9.225,S,,,Odahl,Mr,Nils Martin,,
877,0,3,male,20,0,0,7534,9.8458,S,,,Gustafsson,Mr,Alfred Ossian,Ticket,Family
139,0,3,male,16,0,0,7534,9.2167,S,,,Osen,Mr,Olaf Elon,Ticket,
104,0,3,male,33,0,0,7540,8.6542,S,,,Johansson,Mr,Gustaf Joel,,Family
714,0,3,male,29,0,0,7545,9.4833,S,,,Larsson,Mr,August Viktor,,Family
41,0,3,female,40,1,0,7546,9.475,S,,,Ahlin,Mrs,Johan (Johanna Persdotter Larsson),,
883,0,3,female,22,0,0,7552,10.5167,S,,,Dahlberg,Miss,Gerda Ulrika,,
475,0,3,female,22,0,0,7553,9.8375,S,,,Strandberg,Miss,Ida Sofia,,
339,1,3,male,45,0,0,7598,8.05,S,,,Dahl,Mr,Karl Edwart,,
770,0,3,male,32,0,0,8471,8.3625,S,,,Gronnestad,Mr,Daniel Danielsen,,
653,0,3,male,21,0,0,8475,8.4333,S,,,Kalvik,Mr,Johannes Halvorsen,,
301,1,3,female,,0,0,9234,7.75,Q,,,Kelly,Miss,"Anna Katherine ""Annie Kate""",,Family
42,0,2,female,27,1,0,11668,21,S,,,Turpin,Mrs,William John Robert (Dorothy Ann Wonnacott),Ticket,Family
118,0,2,male,29,1,0,11668,21,S,,,Turpin,Mr,William John Robert,Ticket,Family
249,1,1,male,37,1,1,11751,52.5542,S,D,1,Beckwith,Mr,Richard Leonard,Ticket,Family
872,1,1,female,47,1,1,11751,52.5542,S,D,1,Beckwith,Mrs,Richard Leonard (Sallie Monypeny),Ticket,Family
137,1,1,female,19,0,2,11752,26.2833,S,D,1,Newsom,Miss,Helen Monypeny,,
622,1,1,male,42,1,0,11753,52.5542,S,D,1,Kimball,Mr,Edwin Nelson Jr,,
557,1,1,female,48,1,0,11755,39.6,C,A,1,Duff Gordon,Lady,"(Lucille Christiana Sutherland) (""Mrs Morgan"")",,Family
371,1,1,male,25,1,0,11765,55.4417,C,E,1,Harder,Mr,George Achilles,,
311,1,1,female,24,0,0,11767,83.1583,C,C,1,Hays,Miss,Margaret Bechstein,Ticket,Family
880,1,1,female,56,0,1,11767,83.1583,C,C,1,Potter,Mrs,Thomas Jr (Lily Alexenia Wilson),Ticket,
572,1,1,female,53,2,0,11769,51.4792,S,C,1,Appleton,Mrs,Edward Dale (Charlotte Lamson),,
488,0,1,male,58,0,0,11771,29.7,C,B,1,Kent,Mr,Edward Austin,,
840,1,1,male,,0,0,11774,29.7,C,C,1,Marechal,Mr,Pierre,,
219,1,1,female,32,0,0,11813,76.2917,C,D,1,Bazzani,Miss,Albina,,
292,1,1,female,19,1,0,11967,91.0792,C,B,1,Bishop,Mrs,Dickinson H (Helen Walton),Ticket,Family
485,1,1,male,25,1,0,11967,91.0792,C,B,1,Bishop,Mr,Dickinson H,Ticket,Family
723,0,2,male,34,0,0,12233,13,S,,,Gillespie,Mr,William Henry,,
791,0,3,male,,0,0,12460,7.75,Q,,,Keane,Mr,"Andrew ""Andy""",,Family
821,1,1,female,52,1,1,12749,93.5,S,B,1,Hays,Mrs,Charles Melville (Clara Jennings Gregg),Ticket,Family
521,1,1,female,30,0,0,12749,93.5,S,B,1,Perreault,Miss,Anne,Ticket,
584,0,1,male,36,0,0,13049,40.125,C,A,1,Ross,Mr,John Hugo,,
648,1,1,male,56,0,0,13213,35.5,C,A,1,Simonius-Blumer,Col,Oberst Alfons,,
633,1,1,male,32,0,0,13214,30.5,C,B,1,Stahelin-Maeglin,Dr,Max,,
276,1,1,female,63,1,0,13502,77.9583,S,D,1,Andrews,Miss,Kornelia Theodosia,Ticket,Family
766,1,1,female,51,1,0,13502,77.9583,S,D,1,Hogeboom,Mrs,John C (Anna Andrews),Ticket,
628,1,1,female,21,0,0,13502,77.9583,S,D,1,Longley,Miss,Gretchen Fiske,Ticket,
435,0,1,male,50,1,0,13507,55.9,S,E,1,Silvey,Mr,William Baird,Ticket,Family
578,1,1,female,39,1,0,13507,55.9,S,E,1,Silvey,Mrs,William Baird (Alice Munger),Ticket,Family
457,0,1,male,65,0,0,13509,26.55,S,E,1,Millet,Mr,Francis Davis,,
588,1,1,male,60,1,1,13567,79.2,C,B,1,Frolicher-Stehli,Mr,Maxmillian,,
540,1,1,female,22,0,2,13568,49.5,C,B,1,Frolicher,Miss,Hedwig Margaritha,,
48,1,3,female,,0,0,14311,7.75,Q,,,O'Driscoll,Miss,Bridget,,
574,1,3,female,,0,0,14312,7.75,Q,,,Kelly,Miss,Mary,,Family
369,1,3,female,,0,0,14313,7.75,Q,,,Jermyn,Miss,Annie,,
589,0,3,male,22,0,0,14973,8.05,S,,,Gilinski,Mr,Eliezer,,
338,1,1,female,41,0,0,16966,134.5,C,E,1,Burns,Miss,Elizabeth Margaret,Ticket,
320,1,1,female,40,1,1,16966,134.5,C,E,1,Spedden,Mrs,Frederic Oakley (Margaretta Corning Stone),Ticket,
741,1,1,male,,0,0,16988,30,S,D,1,Hawksford,Mr,Walter James,,
307,1,1,female,,0,0,17421,110.8833,C,,,Fleming,Miss,Margaret,Ticket,
582,1,1,female,39,1,1,17421,110.8833,C,C,1,Thayer,Mrs,John Borland (Marian Longstreth Morris),Ticket,Family
699,0,1,male,49,1,1,17421,110.8833,C,C,1,Thayer,Mr,John Borland,Ticket,Family
551,1,1,male,17,0,2,17421,110.8833,C,C,1,Thayer,Mr,John Borland Jr,Ticket,Family
454,1,1,male,49,1,0,17453,89.1042,C,C,1,Goldenberg,Mr,Samuel L,Ticket,Family
850,1,1,female,,1,0,17453,89.1042,C,C,1,Goldenberg,Mrs,Samuel L (Edwiga Grabowska),Ticket,Family
7,0,1,male,54,0,0,17463,51.8625,S,E,1,McCarthy,Mr,Timothy J,,
458,1,1,female,,1,0,17464,51.8625,S,D,1,Kenyon,Mrs,Frederick R (Marion),,
797,1,1,female,49,0,0,17465,25.9292,S,D,1,Leader,Dr,Alice (Farnham),,
863,1,1,female,48,0,0,17466,25.9292,S,D,1,Swift,Mrs,Frederick Joel (Margaret Welles Barron),,
691,1,1,male,31,1,0,17474,57,S,B,1,Dick,Mr,Albert Adrian,Ticket,Family
782,1,1,female,17,1,0,17474,57,S,B,1,Dick,Mrs,Albert Adrian (Vera Gillespie),Ticket,Family
175,0,1,male,56,0,0,17764,30.6958,C,A,1,Smith,Mr,James Clinch,,Family
291,1,1,female,26,0,0,19877,78.85,S,,,Barber,Miss,"Ellen ""Nellie""",Ticket,
742,0,1,male,36,1,0,19877,78.85,S,C,1,Cavendish,Mr,Tyrell William,Ticket,
246,0,1,male,44,2,0,19928,90,Q,C,1,Minahan,Dr,William Edward,Ticket,Family
413,1,1,female,33,1,0,19928,90,Q,C,1,Minahan,Miss,Daisy E,Ticket,Family
225,1,1,male,38,1,0,19943,90,S,C,1,Hoyt,Mr,Frederick Maxfield,Ticket,Family
487,1,1,female,35,1,0,19943,90,S,C,1,Hoyt,Mrs,Frederick Maxfield (Jane Anne Forby),Ticket,Family
56,1,1,male,,0,0,19947,35.5,S,C,1,Woolner,Mr,Hugh,,
28,0,1,male,19,3,2,19950,263,S,C,3,Fortune,Mr,Charles Alexander,Ticket,Family
89,1,1,female,23,3,2,19950,263,S,C,3,Fortune,Miss,Mabel Helen,Ticket,Family
342,1,1,female,24,3,2,19950,263,S,C,3,Fortune,Miss,Alice Elizabeth,Ticket,Family
439,0,1,male,64,1,4,19950,263,S,C,3,Fortune,Mr,Mark,Ticket,Family
461,1,1,male,48,0,0,19952,26.55,S,E,1,Anderson,Mr,Harry,,
823,0,1,male,38,0,0,19972,0,S,,,Reuchlin,Jonkheer,John George,,
299,1,1,male,,0,0,19988,30.5,S,C,1,Saalfeld,Mr,Adolphe,,
670,1,1,female,,1,0,19996,52,S,C,1,Taylor,Mrs,Elmer Zebley (Juliet Cummins Wright),Ticket,Family
713,1,1,male,48,1,0,19996,52,S,C,1,Taylor,Mr,Elmer Zebley,Ticket,Family
223,0,3,male,51,0,0,21440,8.05,S,,,Green,Mr,George Henry,,
731,1,1,female,29,0,0,24160,211.3375,S,B,1,Allen,Miss,Elisabeth Walton,Ticket,Family
690,1,1,female,15,0,1,24160,211.3375,S,B,1,Madill,Miss,Georgette Alexandra,Ticket,
780,1,1,female,43,0,1,24160,211.3375,S,B,1,Robert,Mrs,Edward Scott (Elisabeth Walton McMillan),Ticket,
507,1,2,female,33,0,2,26360,26,S,,,Quick,Mrs,Frederick Charles (Jane Richards),Ticket,Family
531,1,2,female,2,1,1,26360,26,S,,,Quick,Miss,Phyllis May,Ticket,Family
237,0,2,male,44,1,0,26707,26,S,,,Hold,Mr,Stephen,,
631,1,1,male,80,0,0,27042,30,S,A,1,Barkworth,Mr,Algernon Henry Wilson,,
124,1,2,female,32.5,0,0,27267,13,S,E,1,Webber,Miss,Susan,,Family
388,1,2,female,36,0,0,27849,13,S,,,Buss,Miss,Kate,,
862,0,2,male,21,1,0,28134,11.5,S,,,Giles,Mr,Frederick Edward,,
813,0,2,male,35,0,0,28206,10.5,S,,,Slemen,Mr,Richard James,,
796,0,2,male,39,0,0,28213,13,S,,,Otter,Mr,Richard,,
417,1,2,female,34,1,1,28220,32.5,S,,,Drew,Mrs,James Vivian (Lulu Thorne Christian),,
419,0,2,male,30,0,0,28228,13,S,,,Matthews,Mr,William John,,
583,0,2,male,54,0,0,28403,26,S,,,Downton,Mr,William James,Ticket,
398,0,2,male,46,0,0,28403,26,S,,,McKane,Mr,Peter David,Ticket,
192,0,2,male,19,0,0,28424,13,S,,,Carbines,Mr,William,,
734,0,2,male,23,0,0,28425,13,S,,,Berriman,Mr,William John,,
328,1,2,female,36,0,0,28551,13,S,D,1,Ball,Mrs,(Ada E Hall),,
406,0,2,male,34,1,0,28664,21,S,,,Gale,Mr,Shadrach,,
239,0,2,male,19,0,0,28665,10.5,S,,,Pengelly,Mr,Frederick William,,
318,0,2,male,54,0,0,29011,14,S,,,Moraweck,Dr,Ernest,,
751,1,2,female,4,1,1,29103,23,S,,,Wells,Miss,Joan,,
530,0,2,male,23,2,1,29104,11.5,S,,,Hocking,Mr,Richard George,,Family
775,1,2,female,54,1,3,29105,23,S,,,Hocking,Mrs,Elizabeth (Eliza Needs),,Family
408,1,2,male,3,1,1,29106,18.75,S,,,Richards,Master,William Rowe,Ticket,Family
438,1,2,female,24,2,3,29106,18.75,S,,,Richards,Mrs,Sidney (Emily Hocking),Ticket,Family
832,1,2,male,0.83,1,1,29106,18.75,S,,,Richards,Master,George Sibley,Ticket,Family
758,0,2,male,18,0,0,29108,11.5,S,,,Bailey,Mr,Percy Andrew,,
671,1,2,female,40,1,1,29750,39,S,,,Brown,Mrs,Thomas William Solomon (Elizabeth Catherine Ford),Ticket,Family
685,0,2,male,60,1,1,29750,39,S,,,Brown,Mr,Thomas William Solomon,Ticket,Family
659,0,2,male,23,0,0,29751,13,S,,,Eitemiller,Mr,George Floyd,,
477,0,2,male,34,1,0,31027,21,S,,,Renouf,Mr,Peter Henry,Ticket,Family
727,1,2,female,30,3,0,31027,21,S,,,Renouf,Mrs,Peter Henry (Lillian Jefferys),Ticket,Family
620,0,2,male,26,0,0,31028,10.5,S,,,Gavey,Mr,Lawrence,,
347,1,2,female,40,0,0,31418,13,S,,,Smith,Miss,Marion Elsie,,Family
446,1,1,male,4,0,2,33638,81.8583,S,A,1,Dodge,Master,Washington,,
718,1,2,female,27,0,0,34218,10.5,S,E,1,Troutt,Miss,"Edwina Celia ""Winnie""",,
216,1,1,female,31,1,0,35273,113.275,C,D,1,Newell,Miss,Madeleine,Ticket,Family
394,1,1,female,23,1,0,35273,113.275,C,D,1,Newell,Miss,Marjorie,Ticket,Family
660,0,1,male,58,0,2,35273,113.275,C,D,1,Newell,Mr,Arthur Webster,Ticket,Family
103,0,1,male,21,0,1,35281,77.2875,S,D,1,White,Mr,Richard Frasar,Ticket,Family
125,0,1,male,54,0,1,35281,77.2875,S,D,1,White,Mr,Percival Wayland,Ticket,Family
157,1,3,female,16,0,0,35851,7.7333,Q,,,Gilnagh,Miss,"Katherine ""Katie""",,
698,1,3,female,,0,0,35852,7.7333,Q,,,Mullens,Miss,"Katherine ""Katie""",,
469,0,3,male,,0,0,36209,7.725,Q,,,Scanlan,Mr,James,,
719,0,3,male,,0,0,36568,15.5,Q,,,McEvoy,Mr,Michael,,
704,0,3,male,25,0,0,36864,7.7417,Q,,,Gallagher,Mr,Martin,,
779,0,3,male,,0,0,36865,7.7375,Q,,,Kilgannon,Mr,Thomas J,,
728,1,3,female,,0,0,36866,7.7375,Q,,,Mannion,Miss,Margareth,,
319,1,1,female,31,0,2,36928,164.8667,S,C,1,Wick,Miss,Mary Natalie,Ticket,Family
857,1,1,female,45,1,1,36928,164.8667,S,,,Wick,Mrs,George Dennick (Mary Hitchcock),Ticket,Family
497,1,1,female,54,1,0,36947,78.2667,C,D,1,Eustis,Miss,Elizabeth Mussey,Ticket,
592,1,1,female,52,1,0,36947,78.2667,C,D,1,Stephenson,Mrs,Walter Bertram (Martha Eustis),Ticket,
626,0,1,male,61,0,0,36963,32.3208,S,D,1,Sutton,Mr,Frederick,,
